time,packet_uid,from_holder,to_holder,selected_edge,cum_hops
1696,1613:13858:packet6,veh951,veh827,-859881540,7
1696,1613:13858:packet6,veh827,veh880,-157801818#4,8
1696,1613:13858:packet6,veh880,veh873,-157801818#1,9
1696,1613:13858:packet6,veh873,veh860,-48756664,10
1696,1613:13858:packet6,veh860,veh835,829376220#1,11
1696,1613:13858:packet7,veh951,veh827,-859881540,7
1696,1613:13858:packet7,veh827,veh880,-157801818#4,8
1696,1613:13858:packet7,veh880,veh873,-157801818#1,9
1696,1613:13858:packet7,veh873,veh860,-48756664,10
1696,1613:13858:packet7,veh860,veh835,829376220#1,11
1696,1613:13861:packet0,veh951,veh827,-859881540,8
1696,1613:13861:packet0,veh827,veh880,-157801818#4,9
1696,1613:13861:packet0,veh880,veh873,-157801818#1,10
1696,1613:13861:packet0,veh873,veh860,-48756664,11
1696,1613:13861:packet0,veh860,veh835,829376220#1,12
1696,1613:13861:packet1,veh951,veh827,-859881540,8
1696,1613:13861:packet1,veh827,veh880,-157801818#4,9
1696,1613:13861:packet1,veh880,veh873,-157801818#1,10
1696,1613:13861:packet1,veh873,veh860,-48756664,11
1696,1613:13861:packet1,veh860,veh835,829376220#1,12
1696,1613:13861:packet2,veh951,veh827,-859881540,8
1696,1613:13861:packet2,veh827,veh880,-157801818#4,9
1696,1613:13861:packet2,veh880,veh873,-157801818#1,10
1696,1613:13861:packet2,veh873,veh860,-48756664,11
1696,1613:13861:packet2,veh860,veh835,829376220#1,12
1696,1614:13880:packet0,veh951,veh827,-859881540,12
1696,1614:13880:packet0,veh827,veh880,-157801818#4,13
1696,1614:13880:packet0,veh880,veh873,-157801818#1,14
1696,1614:13880:packet0,veh873,veh860,-48756664,15
1696,1614:13880:packet0,veh860,veh835,829376220#1,16
1696,1614:13880:packet1,veh951,veh827,-859881540,12
1696,1614:13880:packet1,veh827,veh880,-157801818#4,13
1696,1614:13880:packet1,veh880,veh873,-157801818#1,14
1696,1614:13880:packet1,veh873,veh860,-48756664,15
1696,1614:13880:packet1,veh860,veh835,829376220#1,16
1696,1614:13880:packet2,veh951,veh827,-859881540,12
1696,1614:13880:packet2,veh827,veh880,-157801818#4,13
1696,1614:13880:packet2,veh880,veh873,-157801818#1,14
1696,1614:13880:packet2,veh873,veh860,-48756664,15
1696,1614:13880:packet2,veh860,veh835,829376220#1,16
1696,1614:13880:packet3,veh951,veh827,-859881540,12
1696,1614:13880:packet3,veh827,veh880,-157801818#4,13
1696,1614:13880:packet3,veh880,veh873,-157801818#1,14
1696,1614:13880:packet3,veh873,veh860,-48756664,15
1696,1614:13880:packet3,veh860,veh835,829376220#1,16
1696,1614:13896:packet0,veh951,veh827,48756412#1,16
1696,1614:13896:packet0,veh827,veh880,1171265455#1,17
1696,1614:13896:packet0,veh880,veh873,-157801818#1,18
1696,1614:13896:packet0,veh873,veh830,-48756664,19
1696,1614:13896:packet0,veh830,veh860,-157801816#1,20
1696,1614:13896:packet1,veh951,veh827,48756412#1,17
1696,1614:13896:packet1,veh827,veh880,1171265455#1,18
1696,1614:13896:packet1,veh880,veh873,-157801818#1,19
1696,1614:13896:packet1,veh873,veh830,-48756664,20
1696,1614:13896:packet1,veh830,veh860,-157801816#1,21
1696,1614:13896:packet2,veh951,veh827,48756412#1,17
1696,1614:13896:packet2,veh827,veh880,1171265455#1,18
1696,1614:13896:packet2,veh880,veh873,-157801818#1,19
1696,1614:13896:packet2,veh873,veh830,-48756664,20
1696,1614:13896:packet2,veh830,veh860,-157801816#1,21
1696,1614:13896:packet3,veh951,veh827,48756412#1,17
1696,1614:13896:packet3,veh827,veh880,1171265455#1,18
1696,1614:13896:packet3,veh880,veh873,-157801818#1,19
1696,1614:13896:packet3,veh873,veh830,-48756664,20
1696,1614:13896:packet3,veh830,veh860,-157801816#1,21
1696,1614:13896:packet4,veh951,veh827,48756412#1,17
1696,1614:13896:packet4,veh827,veh880,1171265455#1,18
1696,1614:13896:packet4,veh880,veh873,-157801818#1,19
1696,1614:13896:packet4,veh873,veh830,-48756664,20
1696,1614:13896:packet4,veh830,veh860,-157801816#1,21
1696,1614:13896:packet5,veh951,veh827,48756412#1,17
1696,1614:13896:packet5,veh827,veh880,1171265455#1,18
1696,1614:13896:packet5,veh880,veh873,-157801818#1,19
1696,1614:13896:packet5,veh873,veh830,-48756664,20
1696,1614:13896:packet5,veh830,veh860,-157801816#1,21
1696,1614:13896:packet6,veh951,veh827,48756412#1,17
1696,1614:13896:packet6,veh827,veh880,1171265455#1,18
1696,1614:13896:packet6,veh880,veh873,-157801818#1,19
1696,1614:13896:packet6,veh873,veh830,-48756664,20
1696,1614:13896:packet6,veh830,veh860,-157801816#1,21
1696,1614:13896:packet7,veh951,veh827,48756412#1,17
1696,1614:13896:packet7,veh827,veh880,1171265455#1,18
1696,1614:13896:packet7,veh880,veh873,-157801818#1,19
1696,1614:13896:packet7,veh873,veh830,-48756664,20
1696,1614:13896:packet7,veh830,veh860,-157801816#1,21
1696,1622:14052:packet0,veh876,veh891,-787217955#0,14
1696,1622:14052:packet1,veh876,veh891,-787217955#0,14
1696,1622:14052:packet2,veh876,veh891,-787217955#0,14
1696,1622:14052:packet3,veh876,veh891,-787217955#0,14
1696,1625:14113:packet0,veh951,veh827,48756412#1,18
1696,1625:14113:packet0,veh827,veh880,1171265455#1,19
1696,1625:14113:packet0,veh880,veh873,-157801818#1,20
1696,1625:14113:packet0,veh873,veh830,-48756664,21
1696,1625:14113:packet0,veh830,veh860,-157801816#1,22
1696,1625:14113:packet1,veh951,veh827,48756412#1,19
1696,1625:14113:packet1,veh827,veh880,1171265455#1,20
1696,1625:14113:packet1,veh880,veh873,-157801818#1,21
1696,1625:14113:packet1,veh873,veh830,-48756664,22
1696,1625:14113:packet1,veh830,veh860,-157801816#1,23
1696,1625:14113:packet2,veh951,veh827,48756412#1,19
1696,1625:14113:packet2,veh827,veh880,1171265455#1,20
1696,1625:14113:packet2,veh880,veh873,-157801818#1,21
1696,1625:14113:packet2,veh873,veh830,-48756664,22
1696,1625:14113:packet2,veh830,veh860,-157801816#1,23
1696,1625:14113:packet3,veh951,veh827,48756412#1,19
1696,1625:14113:packet3,veh827,veh880,1171265455#1,20
1696,1625:14113:packet3,veh880,veh873,-157801818#1,21
1696,1625:14113:packet3,veh873,veh830,-48756664,22
1696,1625:14113:packet3,veh830,veh860,-157801816#1,23
1696,1625:14113:packet4,veh951,veh827,48756412#1,19
1696,1625:14113:packet4,veh827,veh880,1171265455#1,20
1696,1625:14113:packet4,veh880,veh873,-157801818#1,21
1696,1625:14113:packet4,veh873,veh830,-48756664,22
1696,1625:14113:packet4,veh830,veh860,-157801816#1,23
1696,1625:14113:packet5,veh951,veh827,48756412#1,19
1696,1625:14113:packet5,veh827,veh880,1171265455#1,20
1696,1625:14113:packet5,veh880,veh873,-157801818#1,21
1696,1625:14113:packet5,veh873,veh830,-48756664,22
1696,1625:14113:packet5,veh830,veh860,-157801816#1,23
1696,1625:14113:packet6,veh951,veh827,48756412#1,19
1696,1625:14113:packet6,veh827,veh880,1171265455#1,20
1696,1625:14113:packet6,veh880,veh873,-157801818#1,21
1696,1625:14113:packet6,veh873,veh830,-48756664,22
1696,1625:14113:packet6,veh830,veh860,-157801816#1,23
1696,1626:14140:packet0,veh823,veh876,787217953#0,16
1696,1626:14140:packet1,veh823,veh876,787217953#0,15
1696,1626:14140:packet2,veh823,veh876,787217953#0,17
1696,1626:14140:packet3,veh823,veh876,787217953#0,16
1696,1626:14140:packet4,veh823,veh876,787217953#0,16
1696,1626:14140:packet5,veh823,veh876,787217953#0,16
1696,1626:14140:packet6,veh823,veh876,787217953#0,17
1696,1627:14146:packet0,veh951,veh827,-859881540,15
1696,1627:14146:packet0,veh827,veh880,-157801818#4,16
1696,1627:14146:packet0,veh880,veh873,-157801818#1,17
1696,1627:14146:packet0,veh873,veh835,-48756664,18
1696,1627:14146:packet0,veh835,veh842,807291175#1,19
1696,1627:14146:packet1,veh951,veh827,-859881540,15
1696,1627:14146:packet1,veh827,veh880,-157801818#4,16
1696,1627:14146:packet1,veh880,veh873,-157801818#1,17
1696,1627:14146:packet1,veh873,veh835,-48756664,18
1696,1627:14146:packet1,veh835,veh842,807291175#1,19
1696,1627:14146:packet2,veh951,veh827,-859881540,15
1696,1627:14146:packet2,veh827,veh880,-157801818#4,16
1696,1627:14146:packet2,veh880,veh873,-157801818#1,17
1696,1627:14146:packet2,veh873,veh835,-48756664,18
1696,1627:14146:packet2,veh835,veh842,807291175#1,19
1696,1627:14146:packet3,veh951,veh827,-859881540,15
1696,1627:14146:packet3,veh827,veh880,-157801818#4,16
1696,1627:14146:packet3,veh880,veh873,-157801818#1,17
1696,1627:14146:packet3,veh873,veh835,-48756664,18
1696,1627:14146:packet3,veh835,veh842,807291175#1,19
1696,1627:14146:packet4,veh951,veh827,-859881540,15
1696,1627:14146:packet4,veh827,veh880,-157801818#4,16
1696,1627:14146:packet4,veh880,veh873,-157801818#1,17
1696,1627:14146:packet4,veh873,veh835,-48756664,18
1696,1627:14146:packet4,veh835,veh842,807291175#1,19
1696,1627:14146:packet5,veh951,veh827,-859881540,15
1696,1627:14146:packet5,veh827,veh880,-157801818#4,16
1696,1627:14146:packet5,veh880,veh873,-157801818#1,17
1696,1627:14146:packet5,veh873,veh835,-48756664,18
1696,1627:14146:packet5,veh835,veh842,807291175#1,19
1696,1629:14189:packet0,veh827,veh951,1171265452#1,19
1696,1629:14189:packet0,veh951,veh932,787217965#2,20
1696,1629:14189:packet1,veh827,veh951,1171265452#1,19
1696,1629:14189:packet1,veh951,veh932,787217965#2,20
1696,1629:14189:packet2,veh827,veh951,1171265452#1,19
1696,1629:14189:packet2,veh951,veh932,787217965#2,20
1696,1629:14189:packet3,veh827,veh951,1171265452#1,20
1696,1629:14189:packet3,veh951,veh932,787217965#2,21
1696,1629:14189:packet4,veh827,veh951,1171265452#1,18
