,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval,con_eval
32,no,400,[0.3 0.2 0.5],49,5,1.3,23.316666666666666,0.31510525796252775,86.75
33,no,400,[0.3 0.3 0.4],49,5,1.3,23.316666666666666,0.31510525796252775,86.75
34,no,400,[0.3 0.4 0.3],49,5,1.3,23.316666666666666,0.31510525796252775,86.75
35,no,400,[0.3 0.5 0.2],49,5,1.3333333333333333,23.283333333333335,0.31825118979861916,93.1
36,no,400,[0.3 0.6 0.1],49,5,1.3333333333333333,23.283333333333335,0.31825118979861916,93.1
37,no,400,[0.3 0.7 0. ],49,5,1.3333333333333333,23.283333333333335,0.31825118979861916,93.1
38,no,400,[0.4 0.  0.6],49,5,1.2333333333333334,23.116666666666667,0.3346925445446508,84.95
39,no,400,[0.4 0.1 0.5],49,5,1.3166666666666667,22.933333333333334,0.31479698739186396,85.71666666666667
40,no,400,[0.4 0.2 0.4],49,5,1.3,23.316666666666666,0.31510525796252775,86.75
41,no,400,[0.4 0.3 0.3],49,5,1.3,23.316666666666666,0.31510525796252775,86.75
42,no,400,[0.4 0.4 0.2],49,5,1.3,23.316666666666666,0.31510525796252775,86.75
43,no,400,[0.4 0.5 0.1],49,5,1.3,23.316666666666666,0.31510525796252775,86.75
44,no,400,[0.4 0.6 0. ],49,5,1.3333333333333333,23.283333333333335,0.31825118979861916,93.1
45,no,400,[0.5 0.  0.5],49,5,1.2333333333333334,23.116666666666667,0.3346925445446508,84.95
46,no,400,[0.5 0.1 0.4],49,5,1.3166666666666667,22.933333333333334,0.31479698739186396,85.71666666666667
47,no,400,[0.5 0.2 0.3],49,5,1.3,23.316666666666666,0.3157997024069722,86.75
48,no,400,[0.5 0.3 0.2],49,5,1.3,23.316666666666666,0.31510525796252775,86.75
49,no,400,[0.5 0.4 0.1],49,5,1.3,23.316666666666666,0.31510525796252775,86.75
50,no,400,[0.5 0.5 0. ],49,5,1.3,23.316666666666666,0.31510525796252775,86.75
51,no,400,[0.6 0.  0.4],49,5,1.2333333333333334,23.116666666666667,0.3346925445446508,84.95
52,no,400,[0.6 0.1 0.3],49,5,1.3166666666666667,22.933333333333334,0.31479698739186396,85.71666666666667
53,no,400,[0.6 0.2 0.2],49,5,1.3166666666666667,22.933333333333334,0.3139466472558095,85.71666666666667
54,no,400,[0.6 0.3 0.1],49,5,1.3,23.316666666666666,0.31510525796252775,86.75
55,no,400,[0.6 0.4 0. ],49,5,1.3,23.316666666666666,0.31510525796252775,86.75
56,no,400,[0.7 0.  0.3],49,5,1.2333333333333334,23.116666666666667,0.3346925445446508,84.95
57,no,400,[0.7 0.1 0.2],49,5,1.3166666666666667,22.933333333333334,0.3164976676639728,85.71666666666667
58,no,400,[0.7 0.2 0.1],49,5,1.3166666666666667,22.933333333333334,0.3139466472558095,85.71666666666667
59,no,400,[0.7 0.3 0. ],49,5,1.3,23.316666666666666,0.3157997024069722,86.75
60,no,400,[0.8 0.  0.2],49,5,1.2333333333333334,23.116666666666667,0.3346925445446508,84.95
61,no,400,[0.8 0.1 0.1],49,5,1.3166666666666667,22.933333333333334,0.3164976676639728,85.71666666666667
62,no,400,[ 0.8  0.2 -0. ],49,5,1.3166666666666667,22.933333333333334,0.31479698739186396,85.71666666666667
63,no,400,[0.9 0.  0.1],49,5,1.2333333333333334,23.116666666666667,0.3346925445446508,84.95
64,no,400,[ 0.9  0.1 -0. ],49,5,1.3166666666666667,22.933333333333334,0.3164976676639728,85.71666666666667
65,no,400,[1. 0. 0.],49,5,1.2333333333333334,23.116666666666667,0.3346925445446508,84.95
