,Unnamed: 0,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval,connected_componentes
445,49,no,100,[0.5 0.4 0.1],49,5,1.8666666666666667,38.43333333333333,0.2241164864739788,38.43333333333333
446,50,no,100,[0.5 0.5 0. ],49,5,1.8833333333333333,38.3,0.2283114727969722,38.3
447,51,no,100,[0.6 0.  0.4],49,5,1.8833333333333333,38.03333333333333,0.2131827532044902,38.03333333333333
448,52,no,100,[0.6 0.1 0.3],49,5,1.8666666666666667,38.43333333333333,0.2188557735396375,38.43333333333333
449,53,no,100,[0.6 0.2 0.2],49,5,1.8666666666666667,38.43333333333333,0.2185779957618598,38.43333333333333
450,54,no,100,[0.6 0.3 0.1],49,5,1.8666666666666667,38.43333333333333,0.2241164864739788,38.43333333333333
451,55,no,100,[0.6 0.4 0. ],49,5,1.8666666666666667,38.43333333333333,0.2241164864739788,38.43333333333333
452,56,no,100,[0.7 0.  0.3],49,5,1.8833333333333333,38.03333333333333,0.2131516117114347,38.03333333333333
453,57,no,100,[0.7 0.1 0.2],49,5,1.8666666666666667,38.43333333333333,0.2188557735396375,38.43333333333333
454,58,no,100,[0.7 0.2 0.1],49,5,1.8666666666666667,38.43333333333333,0.2182218704057344,38.43333333333333
455,59,no,100,[0.7 0.3 0. ],49,5,1.8666666666666667,38.43333333333333,0.2241164864739788,38.43333333333333
456,60,no,100,[0.8 0.  0.2],49,5,1.8833333333333333,38.03333333333333,0.2131516117114347,38.03333333333333
457,61,no,100,[0.8 0.1 0.1],49,5,1.8666666666666667,38.43333333333333,0.2185779957618598,38.43333333333333
458,62,no,100,[ 0.8  0.2 -0. ],49,5,1.8666666666666667,38.43333333333333,0.2241316591713472,38.43333333333333
459,63,no,100,[0.9 0.  0.1],49,5,1.8833333333333333,38.03333333333333,0.2131516117114347,38.03333333333333
460,64,no,100,[ 0.9  0.1 -0. ],49,5,1.8666666666666667,38.43333333333333,0.2241316591713472,38.43333333333333
461,65,no,100,[1. 0. 0.],49,5,1.8833333333333333,38.03333333333333,0.2086377228225457,38.03333333333333
462,0,yes,300,[0. 0. 1.],49,7,0.466666667,17.98333333,0.45325469,17.98333333
463,1,yes,300,[0.  0.1 0.9],49,7,0.466666667,17.98333333,0.446070782,17.98333333
464,2,yes,300,[0.  0.2 0.8],49,7,0.466666667,17.98333333,0.446046132,17.98333333
465,3,yes,300,[0.  0.3 0.7],49,7,0.466666667,17.98333333,0.457540384,17.98333333
466,4,yes,300,[0.  0.4 0.6],49,7,0.466666667,17.98333333,0.454671028,17.98333333
467,5,yes,300,[0.  0.5 0.5],49,7,0.466666667,17.98333333,0.433718668,17.98333333
468,6,yes,300,[0.  0.6 0.4],49,7,0.466666667,17.98333333,0.433534465,17.98333333
469,7,yes,300,[0.  0.7 0.3],49,7,0.466666667,17.98333333,0.431537834,17.98333333
470,8,yes,300,[0.  0.8 0.2],49,7,0.416666667,19.3,0.411836127,19.3
471,9,yes,300,[0.  0.9 0.1],49,7,0.416666667,19.05,0.420001653,19.05
472,10,yes,300,[0. 1. 0.],49,7,0.466666667,18.93333333,0.412364002,18.93333333
473,11,yes,300,[0.1 0.  0.9],49,7,0.466666667,17.98333333,0.45325469,17.98333333
474,12,yes,300,[0.1 0.1 0.8],49,7,0.466666667,17.98333333,0.448944345,17.98333333
475,13,yes,300,[0.1 0.2 0.7],49,7,0.466666667,17.98333333,0.448919695,17.98333333
476,14,yes,300,[0.1 0.3 0.6],49,7,0.466666667,17.98333333,0.457540384,17.98333333
477,15,yes,300,[0.1 0.4 0.5],49,7,0.466666667,17.98333333,0.44518827,17.98333333
478,16,yes,300,[0.1 0.5 0.4],49,7,0.466666667,17.98333333,0.433718668,17.98333333
479,17,yes,300,[0.1 0.6 0.3],49,7,0.466666667,17.98333333,0.433534465,17.98333333
480,18,yes,300,[0.1 0.7 0.2],49,7,0.416666667,19.3,0.411836127,19.3
481,19,yes,300,[0.1 0.8 0.1],49,7,0.466666667,18.85,0.41369015,18.85
482,20,yes,300,[0.1 0.9 0. ],49,7,0.466666667,18.93333333,0.414549794,18.93333333
483,21,yes,300,[0.2 0.  0.8],49,7,0.466666667,17.73333333,0.447682677,17.73333333
484,22,yes,300,[0.2 0.1 0.7],49,7,0.466666667,17.73333333,0.447668673,17.73333333
485,23,yes,300,[0.2 0.2 0.6],49,7,0.466666667,17.73333333,0.443407152,17.73333333
486,24,yes,300,[0.2 0.3 0.5],49,7,0.466666667,17.98333333,0.457540384,17.98333333
487,25,yes,300,[0.2 0.4 0.4],49,7,0.466666667,17.98333333,0.435155449,17.98333333
488,26,yes,300,[0.2 0.5 0.3],49,7,0.466666667,17.98333333,0.433534465,17.98333333
489,27,yes,300,[0.2 0.6 0.2],49,7,0.466666667,19.1,0.405231451,19.1
490,28,yes,300,[0.2 0.7 0.1],49,7,0.466666667,18.9,0.405487863,18.9
491,29,yes,300,[0.2 0.8 0. ],49,7,0.466666667,18.93333333,0.414549794,18.93333333
492,30,yes,300,[0.3 0.  0.7],49,7,0.466666667,17.73333333,0.447682677,17.73333333
493,31,yes,300,[0.3 0.1 0.6],49,7,0.466666667,17.73333333,0.447682677,17.73333333
494,32,yes,300,[0.3 0.2 0.5],49,7,0.466666667,17.73333333,0.443421156,17.73333333
495,33,yes,300,[0.3 0.3 0.4],49,7,0.466666667,17.78333333,0.440579735,17.78333333
496,34,yes,300,[0.3 0.4 0.3],49,7,0.516666667,17.61666667,0.422126309,17.61666667
497,35,yes,300,[0.3 0.5 0.2],49,7,0.466666667,19.15,0.413540263,19.15
498,36,yes,300,[0.3 0.6 0.1],49,7,0.466666667,18.9,0.405487863,18.9
499,37,yes,300,[0.3 0.7 0. ],49,7,0.466666667,18.9,0.407400432,18.9
500,38,yes,300,[0.4 0.  0.6],49,7,0.466666667,17.78333333,0.44768012,17.78333333
501,39,yes,300,[0.4 0.1 0.5],49,7,0.466666667,17.78333333,0.44768012,17.78333333
502,40,yes,300,[0.4 0.2 0.4],49,7,0.516666667,17.61666667,0.435449585,17.61666667
503,41,yes,300,[0.4 0.3 0.3],49,7,0.516666667,17.61666667,0.430473414,17.61666667
504,42,yes,300,[0.4 0.4 0.2],49,7,0.466666667,19.15,0.414276374,19.15
505,43,yes,300,[0.4 0.5 0.1],49,7,0.466666667,19.15,0.412782688,19.15
506,44,yes,300,[0.4 0.6 0. ],49,7,0.466666667,18.9,0.407400432,18.9
507,45,yes,300,[0.5 0.  0.5],49,7,0.516666667,17.58333333,0.440566006,17.58333333
508,46,yes,300,[0.5 0.1 0.4],49,7,0.516666667,17.58333333,0.439801437,17.58333333
509,47,yes,300,[0.5 0.2 0.3],49,7,0.516666667,17.58333333,0.431468103,17.58333333
510,48,yes,300,[0.5 0.3 0.2],49,7,0.5,18.83333333,0.421373384,18.83333333
511,49,yes,300,[0.5 0.4 0.1],49,7,0.466666667,19.15,0.415463243,19.15
512,50,yes,300,[0.5 0.5 0. ],49,7,0.466666667,18.9,0.407036133,18.9
